customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID0000,Male,0,Yes,Yes,62,Yes,No phone service,No,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),60.00761994525368,3614.7456288906105,No
ID0001,Female,1,Yes,Yes,11,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),38.4914018181322,428.8179082290379,Yes
ID0002,Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No,One year,No,Credit card (automatic),87.26740818851789,748.5768866144401,Yes
ID0003,Male,0,Yes,Yes,12,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,Yes,Two year,Yes,Mailed check,88.40290088171233,1038.076557609298,No
ID0004,Male,0,Yes,Yes,34,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,No,Two year,Yes,Electronic check,46.272027131972365,1597.4303849372216,No
ID0005,Female,1,Yes,No,26,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),65.72925361225072,1593.389214521633,Yes
ID0006,Male,0,Yes,Yes,66,No,No phone service,No,No,Yes,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),63.17070790024032,4263.9216398705885,No
ID0007,Male,0,No,Yes,44,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),95.79791165982293,4139.530163687431,No
ID0008,Male,0,No,No,66,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,85.51723298872746,5564.228078035457,No
ID0009,Female,0,No,No,21,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,24.822135974593415,400.94464598262016,No
ID0010,Male,0,No,No,41,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,33.10647235897957,1411.0439689905058,No
ID0011,Male,0,No,Yes,19,Yes,Yes,No,No internet service,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),101.99659995972655,2055.3685203812356,No
ID0012,Male,0,No,No,47,Yes,No,DSL,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,No,Mailed check,114.55533662294432,5356.542326954946,Yes
ID0013,Male,0,No,Yes,17,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),81.63821518837993,1238.1426448190189,No
ID0014,Female,0,Yes,No,69,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,One year,Yes,Electronic check,54.47705356322262,3641.805244356565,Yes
ID0015,Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),40.10822670806546,166.9467391683298,No
ID0016,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),92.35588562273429,3449.636992597568,No
ID0017,Female,0,No,No,10,Yes,Yes,No,Yes,Yes,Yes,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),81.83988786514331,663.8907806870525,Yes
ID0018,Female,1,No,Yes,24,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),108.88984622087413,2638.402227920277,Yes
ID0019,Male,0,Yes,Yes,54,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,108.31319629508671,5810.047857919568,Yes
ID0020,Female,1,No,No,57,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,48.71843113098972,2848.278818861186,No
ID0021,Male,0,No,Yes,36,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,98.29192580465165,3556.873367160614,No
